Category,Part Number,Description,Vendor,Quantity,in Drawing,,,,,,,,,,,,
Optomechanical,RC1,"Dovetail Rail Carrier, 1/4"" (M6) Counterbore",Thorlabs,5,,,,,,,,,,,,,
Optomechanical,RLA450_M,"RLA450/M - Dovetail Optical Rail, 450 mm, Metric ",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,KM200,"Kinematic Mirror Mount for ¯2"" Optics",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,RC3,"Rail Carrier, Perpendicular Dovetail",Thorlabs,2,,,,,,,,,,,,,
Optomechanical,SM1SMA,"SMA Fiber Adapter Plate with External SM1 (1.035""-40) Threads",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,KCB1_M,"KCB1/M - Right-Angle Kinematic Mirror Mount with Tapped Cage Rod Holes, 30 mm Cage System and SM1 Compatible, M4 and M6 Mounting Holes",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,ER2,"Cage Assembly Rod, 2"" Long, ¯6 mm",Thorlabs,4,,,,,,,,,,,,,
Optomechanical,ER4,"Cage Assembly Rod, 4"" Long, ¯6 mm",Thorlabs,4,,,,,,,,,,,,,
Optomechanical,SM1Z,"Z-Axis Translation Mount, 30 mm Cage Compatible ",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,CP08_M,"SM1-Threaded 30 mm Cage Plate with Flexure Clamping, 1 Retaining Ring, M4 Tap",Thorlabs,2,,,,,,,,,,,,,
Optomechanical,LS-P642H0588A00_M,"¯1"" (¯25 mm) Posts for Polaris¨ Mirror Mounts",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0300A00_M,"¯1"" (¯25 mm) Posts for Polaris¨ Mirror Mounts",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,TR30-M,"¯12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 30 mm",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0457A00_M,"¯1"" (¯25 mm) Posts for Polaris¨ Mirror Mounts",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0394A00_M,"¯1"" (¯25 mm) Posts for Polaris¨ Mirror Mounts",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,CP02B,30 mm Cage Mounting Bracket,Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PH50_M,"¯12.7 mm Post Holder, Spring-Loaded Hex-Locking Thumbscrew, L=50 mm",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,C4W,30 mm Cage Cube,Thorlabs,1,,,,,,,,,,,,,
Optomechanical,SM1D12,SM1 Lever-Actuated Iris Diaphragm (¯0.8 - ¯12 mm),Thorlabs,10,,,,,,,,,,,,,
Optomechanical,B4C/M ,"kinematic Cage Cube Platform for C4W/C6W, Metric",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,FFM1,30-mm-Cage-Compatible Rectangular Filter Mount,Thorlabs,1,,,,,,,,,,,,,
Optics-diagnosis,DMSP805L,"DMSP805L - ¯2"" Shortpass Dichroic Mirror, 805 nm Cutoff ",Thorlabs,,,,,,,,,,,,,,
Optomechanical,CXY2,"60 mm Cage System Translating Lens Mount for ¯2"" Optics",Thorlabs,1,,,,,,,,,,,,,
